Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
135,5.8172436,2.935962,1.45662,0.86574715,1.095905,5,5.0,MAP,t-Distribution,Sequential RNN
136,-2.7841382,3.6969798,2.6459794,2.226193,0.7785871,5,5.0,MAP,t-Distribution,Sequential RNN
137,-0.94510275,3.2766645,1.8507409,1.2812042,1.0563323,5,5.0,MAP,t-Distribution,Sequential RNN
138,-7.756305,3.3901582,1.9988393,1.4431242,1.030697,5,5.0,MAP,t-Distribution,Sequential RNN
139,-1.4322,3.5090032,2.1513093,1.6090248,1.0057873,5,5.0,MAP,t-Distribution,Sequential RNN
140,-0.022897305,3.3567336,1.8779424,1.2872896,1.0954969,5,5.0,MAP,t-Distribution,Sequential RNN
141,2.0948367,4.0846825,2.7165046,2.1700325,1.013554,5,5.0,MAP,t-Distribution,Sequential RNN
142,2.7730384,1.9778868,0.82074165,0.35855937,0.8572197,5,5.0,MAP,t-Distribution,Sequential RNN
143,1.8912163,2.2068317,1.0711312,0.61751425,0.8413333,5,5.0,MAP,t-Distribution,Sequential RNN
144,0.4691834,2.021171,1.0943383,0.7241464,0.68660307,5,5.0,MAP,t-Distribution,Sequential RNN
145,-1.0827819,2.3558695,1.1479676,0.66551214,0.89482075,5,5.0,MAP,t-Distribution,Sequential RNN
146,2.140814,2.746786,1.6788224,1.2522607,0.79115355,5,5.0,MAP,t-Distribution,Sequential RNN
147,-0.28965262,2.5840046,1.4907335,1.0540636,0.8099015,5,5.0,MAP,t-Distribution,Sequential RNN
148,-2.0939543,4.4166417,3.1508117,2.6452188,0.937734,5,5.0,MAP,t-Distribution,Sequential RNN
149,2.664488,2.8516524,1.677624,1.2086983,0.86972696,5,5.0,MAP,t-Distribution,Sequential RNN
150,0.38130137,1.9572881,0.9714862,0.57774115,0.7302877,5,5.0,MAP,t-Distribution,Sequential RNN
151,-1.0205303,2.9486654,1.7189556,1.2277899,0.91097593,5,5.0,MAP,t-Distribution,Sequential RNN
152,-1.1191245,5.2010345,3.4557393,2.7586405,1.2929245,5,5.0,MAP,t-Distribution,Sequential RNN
153,1.9363668,2.2786045,1.0888721,0.6136739,0.88136053,5,5.0,MAP,t-Distribution,Sequential RNN
154,-0.08079828,2.5723834,1.573329,1.1742907,0.74010515,5,5.0,MAP,t-Distribution,Sequential RNN
155,1.9939705,3.7436597,2.4989398,2.0017786,0.9220958,5,5.0,MAP,t-Distribution,Sequential RNN
156,0.6101902,2.0728574,0.9684084,0.5272738,0.8181821,5,5.0,MAP,t-Distribution,Sequential RNN
157,0.17942028,1.410555,0.5206225,0.16516918,0.65926707,5,5.0,MAP,t-Distribution,Sequential RNN
158,-0.456403,2.0384574,0.8924071,0.43465626,0.84900063,5,5.0,MAP,t-Distribution,Sequential RNN
159,0.9391428,3.4318116,2.2672794,1.8021467,0.86269206,5,5.0,MAP,t-Distribution,Sequential RNN
160,-1.8317631,3.813038,2.4168513,1.859192,1.0343031,5,5.0,MAP,t-Distribution,Sequential RNN
161,-0.43885145,4.4514766,3.0190332,2.4468925,1.0611622,5,5.0,MAP,t-Distribution,Sequential RNN
162,-0.035248935,2.3112984,1.2646185,0.8465579,0.7753864,5,5.0,MAP,t-Distribution,Sequential RNN
163,-0.45365638,3.5444524,2.3911998,1.9305722,0.85433614,5,5.0,MAP,t-Distribution,Sequential RNN
164,2.3308456,2.8196237,1.6164781,1.1359224,0.8912971,5,5.0,MAP,t-Distribution,Sequential RNN
165,0.4062457,1.489606,0.5947097,0.23727374,0.6629444,5,5.0,MAP,t-Distribution,Sequential RNN
166,0.7848487,3.4151905,2.2990808,1.8532887,0.82682043,5,5.0,MAP,t-Distribution,Sequential RNN
167,-1.1464424,2.687601,1.6036423,1.1706918,0.8030029,5,5.0,MAP,t-Distribution,Sequential RNN
168,-1.5395913,4.3907585,2.9907484,2.431562,1.0371355,5,5.0,MAP,t-Distribution,Sequential RNN
169,-0.0750456,4.4369144,2.6769125,1.9739397,1.3038194,5,5.0,MAP,t-Distribution,Sequential RNN
170,1.276673,2.3531306,1.3899564,1.0052491,0.71352494,5,5.0,MAP,t-Distribution,Sequential RNN
171,-0.33180454,2.3817766,1.0829623,0.56419504,0.96216905,5,5.0,MAP,t-Distribution,Sequential RNN
172,1.2371703,2.6739895,1.6205467,1.1997848,0.78039646,5,5.0,MAP,t-Distribution,Sequential RNN
173,-1.7213624,2.4998035,1.3605738,0.9055472,0.8439478,5,5.0,MAP,t-Distribution,Sequential RNN
174,0.18463588,3.8036764,2.2603338,1.6438979,1.1433171,5,5.0,MAP,t-Distribution,Sequential RNN
175,1.5641114,3.1003444,1.8950418,1.4136246,0.8928951,5,5.0,MAP,t-Distribution,Sequential RNN
176,1.7805446,2.099038,0.9101094,0.4352324,0.8807649,5,5.0,MAP,t-Distribution,Sequential RNN
177,2.265641,1.6663485,0.7471219,0.3799681,0.6809683,5,5.0,MAP,t-Distribution,Sequential RNN
178,-0.52857035,2.6634402,1.6366283,1.2265031,0.7606682,5,5.0,MAP,t-Distribution,Sequential RNN
179,-0.8960036,3.5790293,2.195409,1.6427689,1.0249939,5,5.0,MAP,t-Distribution,Sequential RNN
180,-0.23061174,1.981323,0.8900022,0.4541112,0.80845666,5,5.0,MAP,t-Distribution,Sequential RNN
181,0.42785758,1.9176801,0.8320325,0.3984075,0.80425394,5,5.0,MAP,t-Distribution,Sequential RNN
182,-0.6450155,1.9514217,0.7391632,0.25496772,0.89804804,5,5.0,MAP,t-Distribution,Sequential RNN
183,0.7078822,2.333967,1.3399887,0.9429779,0.73634475,5,5.0,MAP,t-Distribution,Sequential RNN
184,1.7529407,2.260039,1.0653449,0.588165,0.8850362,5,5.0,MAP,t-Distribution,Sequential RNN
185,0.38930225,3.0171912,1.9129994,1.4719676,0.8179915,5,5.0,MAP,t-Distribution,Sequential RNN
186,0.25991398,2.8802383,1.8179097,1.3935987,0.786979,5,5.0,MAP,t-Distribution,Sequential RNN
187,-0.5372668,3.1373885,2.0302384,1.588025,0.820183,5,5.0,MAP,t-Distribution,Sequential RNN
188,-0.8996075,4.9361725,3.351719,2.7188628,1.1737725,5,5.0,MAP,t-Distribution,Sequential RNN
189,-1.1477244,3.181702,1.7207514,1.1372244,1.0822805,5,5.0,MAP,t-Distribution,Sequential RNN
190,4.3401976,3.4420328,1.9716612,1.3843713,1.0892596,5,5.0,MAP,t-Distribution,Sequential RNN
191,-1.3140041,2.5033183,1.3812355,0.93305767,0.8312454,5,5.0,MAP,t-Distribution,Sequential RNN
192,0.5650615,2.4864595,1.3893862,0.9511975,0.81271815,5,5.0,MAP,t-Distribution,Sequential RNN
193,-0.20644355,3.252896,2.0963016,1.6343393,0.8568118,5,5.0,MAP,t-Distribution,Sequential RNN
194,-0.8505411,2.3440518,1.3486533,0.9510752,0.7373969,5,5.0,MAP,t-Distribution,Sequential RNN
195,1.8642106,2.5518305,1.4876086,1.0625412,0.78838164,5,5.0,MAP,t-Distribution,Sequential RNN
196,-2.9296496,2.4382973,1.2957569,0.839408,0.84640044,5,5.0,MAP,t-Distribution,Sequential RNN
197,-0.18057685,4.6868567,3.1285777,2.5061762,1.1543821,5,5.0,MAP,t-Distribution,Sequential RNN
198,0.17323539,3.2021048,1.8697166,1.3375394,0.9870407,5,5.0,MAP,t-Distribution,Sequential RNN
199,-1.6655726,3.132309,2.0465353,1.61286,0.8043472,5,5.0,MAP,t-Distribution,Sequential RNN
200,-0.48389193,3.1760366,1.6593022,1.0534942,1.1236055,5,5.0,MAP,t-Distribution,Sequential RNN
201,-1.8814029,2.641705,1.6281235,1.2232829,0.75086695,5,5.0,MAP,t-Distribution,Sequential RNN
202,0.8852902,2.574534,1.33923,0.84582967,0.9151203,5,5.0,MAP,t-Distribution,Sequential RNN
203,2.8415997,2.0513,1.0702273,0.678371,0.7267844,5,5.0,MAP,t-Distribution,Sequential RNN
204,-0.42267543,1.9169898,0.97187907,0.59438676,0.7001434,5,5.0,MAP,t-Distribution,Sequential RNN
205,-0.577542,3.0509918,1.9539859,1.5158242,0.8126682,5,5.0,MAP,t-Distribution,Sequential RNN
206,-0.7325689,3.2657373,1.8947164,1.3471087,1.01566,5,5.0,MAP,t-Distribution,Sequential RNN
207,-0.4350179,3.1753392,2.0614843,1.616593,0.82514995,5,5.0,MAP,t-Distribution,Sequential RNN
208,2.2757466,2.9053771,1.5908074,1.0657473,0.9738408,5,5.0,MAP,t-Distribution,Sequential RNN
209,-0.33046237,2.2566545,1.2936114,0.90895665,0.7134278,5,5.0,MAP,t-Distribution,Sequential RNN
210,1.0772951,2.8758533,1.746688,1.2956814,0.83649206,5,5.0,MAP,t-Distribution,Sequential RNN
211,-0.5763561,2.3646057,1.2378033,0.7877405,0.83474153,5,5.0,MAP,t-Distribution,Sequential RNN
212,-0.8663077,2.9854631,1.774017,1.290146,0.8974462,5,5.0,MAP,t-Distribution,Sequential RNN
213,0.7136538,2.641137,1.450871,0.9754599,0.88175565,5,5.0,MAP,t-Distribution,Sequential RNN
214,-1.5369946,2.5668244,1.4383466,0.9876145,0.83598286,5,5.0,MAP,t-Distribution,Sequential RNN
215,-0.3600954,2.3529804,1.2042223,0.74538994,0.85100657,5,5.0,MAP,t-Distribution,Sequential RNN
216,0.9075127,2.7393324,1.4844222,0.98319095,0.92964464,5,5.0,MAP,t-Distribution,Sequential RNN
217,1.4391127,2.9114141,1.8197696,1.3837494,0.8086965,5,5.0,MAP,t-Distribution,Sequential RNN
218,0.7605166,4.178325,2.8200507,2.2775342,1.0062174,5,5.0,MAP,t-Distribution,Sequential RNN
219,-0.49253532,2.1023757,1.0991709,0.6984748,0.74317986,5,5.0,MAP,t-Distribution,Sequential RNN
220,-1.4560333,2.8628714,1.741735,1.2939351,0.83054423,5,5.0,MAP,t-Distribution,Sequential RNN
221,-2.6446753,2.4948545,1.3058819,0.8309871,0.8807977,5,5.0,MAP,t-Distribution,Sequential RNN
222,-3.9185994,4.194451,2.7789762,2.2136128,1.0485917,5,5.0,MAP,t-Distribution,Sequential RNN
223,3.465473,3.1984558,1.8815784,1.3555965,0.97555023,5,5.0,MAP,t-Distribution,Sequential RNN
224,1.2035756,2.9542456,1.7920716,1.3278807,0.86094517,5,5.0,MAP,t-Distribution,Sequential RNN
225,0.66531706,2.8736804,1.7971398,1.3671522,0.79750746,5,5.0,MAP,t-Distribution,Sequential RNN
226,-1.6206028,2.1079516,1.0507556,0.62849456,0.78317684,5,5.0,MAP,t-Distribution,Sequential RNN
227,0.55799615,3.4065986,2.1268084,1.6156398,0.9480758,5,5.0,MAP,t-Distribution,Sequential RNN
