Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
73,0.0057332646,-2.391389,-1.3653401,-0.9555198,0.7601028,10,5.0,MAP,t-Distribution,Sequential RNN
74,-0.3531863,-2.812075,-1.724942,-1.2907237,0.8053543,10,5.0,MAP,t-Distribution,Sequential RNN
75,0.03388316,-2.5621305,-1.4695635,-1.0331748,0.80937976,10,5.0,MAP,t-Distribution,Sequential RNN
76,-1.1206156,-2.6173928,-1.4921707,-1.042739,0.83357084,10,5.0,MAP,t-Distribution,Sequential RNN
77,-0.30085608,-3.0897586,-1.8348733,-1.333652,0.9296262,10,5.0,MAP,t-Distribution,Sequential RNN
78,-0.085548915,-2.9592364,-1.696668,-1.192378,0.93531775,10,5.0,MAP,t-Distribution,Sequential RNN
79,0.3414297,-2.7271047,-1.6609626,-1.2351284,0.7898041,10,5.0,MAP,t-Distribution,Sequential RNN
80,-0.4322563,-2.2977774,-1.3246243,-0.93593127,0.72091746,10,5.0,MAP,t-Distribution,Sequential RNN
81,1.0352855,-2.7564116,-1.5815718,-1.1123221,0.87032795,10,5.0,MAP,t-Distribution,Sequential RNN
82,1.0072781,-3.2637417,-1.9969792,-1.4910141,0.93842477,10,5.0,MAP,t-Distribution,Sequential RNN
83,-1.1219655,-2.8613923,-1.737202,-1.2881825,0.83280647,10,5.0,MAP,t-Distribution,Sequential RNN
84,0.96470064,-2.9836795,-1.7481805,-1.2547024,0.9152648,10,5.0,MAP,t-Distribution,Sequential RNN
85,1.2602651,-2.7193935,-1.6316445,-1.19718,0.80581075,10,5.0,MAP,t-Distribution,Sequential RNN
86,-0.10737186,-2.5817237,-1.586046,-1.1883563,0.7376038,10,5.0,MAP,t-Distribution,Sequential RNN
87,-0.1316347,-2.6695204,-1.5504689,-1.1035018,0.8289997,10,5.0,MAP,t-Distribution,Sequential RNN
88,-0.22383723,-2.2971025,-1.3467515,-0.96716607,0.70402545,10,5.0,MAP,t-Distribution,Sequential RNN
89,0.38881707,-3.2138932,-1.8955997,-1.3690523,0.9765993,10,5.0,MAP,t-Distribution,Sequential RNN
90,-0.7402022,-2.5539398,-1.5565557,-1.1581845,0.73886776,10,5.0,MAP,t-Distribution,Sequential RNN
91,-2.0863512,-2.5155716,-1.3245798,-0.84887874,0.8822934,10,5.0,MAP,t-Distribution,Sequential RNN
92,0.84743,-3.011539,-1.7637013,-1.2652951,0.92440516,10,5.0,MAP,t-Distribution,Sequential RNN
93,-0.34037688,-4.041126,-2.572053,-1.9852818,1.0882976,10,5.0,MAP,t-Distribution,Sequential RNN
94,0.019028254,-4.050066,-2.3203719,-1.6295041,1.2813674,10,5.0,MAP,t-Distribution,Sequential RNN
95,-0.7653411,-3.68454,-2.1894515,-1.5922891,1.1075703,10,5.0,MAP,t-Distribution,Sequential RNN
96,-0.5889136,-2.6783187,-1.488775,-1.0136522,0.8812207,10,5.0,MAP,t-Distribution,Sequential RNN
97,0.585572,-3.8524811,-2.2936826,-1.6710736,1.1547668,10,5.0,MAP,t-Distribution,Sequential RNN
98,0.4893975,-2.3178222,-1.3962047,-1.028096,0.68273956,10,5.0,MAP,t-Distribution,Sequential RNN
99,1.7730197,-3.5361593,-2.230363,-1.7088069,0.9673415,10,5.0,MAP,t-Distribution,Sequential RNN
100,0.21400444,-2.839297,-1.8034389,-1.3897007,0.7673695,10,5.0,MAP,t-Distribution,Sequential RNN
101,-0.62686694,-2.5696492,-1.5464454,-1.1377614,0.75799525,10,5.0,MAP,t-Distribution,Sequential RNN
102,0.1353168,-3.0378363,-1.7564905,-1.2447003,0.9492284,10,5.0,MAP,t-Distribution,Sequential RNN
103,0.7426035,-2.444416,-1.4213637,-1.0127403,0.75788295,10,5.0,MAP,t-Distribution,Sequential RNN
104,-0.61750203,-2.8173692,-1.7537129,-1.3288716,0.7879626,10,5.0,MAP,t-Distribution,Sequential RNN
105,-0.2191052,-2.5120237,-1.437764,-1.0086877,0.79581755,10,5.0,MAP,t-Distribution,Sequential RNN
106,-0.6262694,-2.487236,-1.4364933,-1.0168097,0.77839625,10,5.0,MAP,t-Distribution,Sequential RNN
107,-0.39494848,-2.6104515,-1.5512145,-1.1281382,0.7846888,10,5.0,MAP,t-Distribution,Sequential RNN
108,-0.5837636,-3.0474246,-1.854036,-1.3773775,0.884069,10,5.0,MAP,t-Distribution,Sequential RNN
109,-0.15995742,-2.50441,-1.522937,-1.130921,0.7270808,10,5.0,MAP,t-Distribution,Sequential RNN
110,1.224444,-2.8420963,-1.6453055,-1.1672881,0.8865895,10,5.0,MAP,t-Distribution,Sequential RNN
111,-1.3234291,-3.1536915,-1.8690339,-1.3559213,0.95168155,10,5.0,MAP,t-Distribution,Sequential RNN
112,-3.9004617,-2.6303484,-1.3812251,-0.88230526,0.92535776,10,5.0,MAP,t-Distribution,Sequential RNN
113,-1.0137665,-5.0876155,-2.9855614,-2.1459672,1.5572135,10,5.0,MAP,t-Distribution,Sequential RNN
114,-2.3783586,-3.6506505,-2.2424743,-1.6800263,1.0431849,10,5.0,MAP,t-Distribution,Sequential RNN
115,-0.055250257,-4.466356,-2.6089718,-1.867103,1.3759606,10,5.0,MAP,t-Distribution,Sequential RNN
116,5.6671658,-5.035701,-2.9971793,-2.1829612,1.5101484,10,5.0,MAP,t-Distribution,Sequential RNN
117,0.6864154,-3.1794481,-2.0508292,-1.6000408,0.8360873,10,5.0,MAP,t-Distribution,Sequential RNN
118,5.863315,-3.749368,-2.3168359,-1.7446595,1.061228,10,5.0,MAP,t-Distribution,Sequential RNN
119,2.3263934,-4.499148,-2.8489153,-2.189786,1.2225018,10,5.0,MAP,t-Distribution,Sequential RNN
120,0.03699537,-3.1796677,-2.0042057,-1.5347073,0.870789,10,5.0,MAP,t-Distribution,Sequential RNN
121,-0.3454969,-4.163822,-2.5179994,-1.8606316,1.219235,10,5.0,MAP,t-Distribution,Sequential RNN
122,3.5922456,-3.6222947,-2.240171,-1.6881286,1.0238851,10,5.0,MAP,t-Distribution,Sequential RNN
123,-4.214952,-2.335856,-1.3100269,-0.90029436,0.75994,10,5.0,MAP,t-Distribution,Sequential RNN
124,-3.0960565,-3.6196175,-2.2838633,-1.7503419,0.9895342,10,5.0,MAP,t-Distribution,Sequential RNN
125,3.7300553,-3.6837425,-2.2381644,-1.6607772,1.0708926,10,5.0,MAP,t-Distribution,Sequential RNN
126,-4.60496,-3.9578757,-2.2542207,-1.5737538,1.2620772,10,5.0,MAP,t-Distribution,Sequential RNN
127,4.179298,-3.185449,-1.9566035,-1.465783,0.9103357,10,5.0,MAP,t-Distribution,Sequential RNN
128,0.5917653,-2.9825923,-1.7638099,-1.2770087,0.9028811,10,5.0,MAP,t-Distribution,Sequential RNN
129,-1.7164022,-3.150192,-1.922034,-1.431488,0.9098265,10,5.0,MAP,t-Distribution,Sequential RNN
130,-5.1361537,-3.919303,-2.2947469,-1.6458731,1.2034805,10,5.0,MAP,t-Distribution,Sequential RNN
131,-0.032692745,-3.6861384,-2.3356726,-1.7962749,1.0004328,10,5.0,MAP,t-Distribution,Sequential RNN
132,4.801038,-3.6032023,-2.0687375,-1.4558479,1.1367402,10,5.0,MAP,t-Distribution,Sequential RNN
133,4.85742,-3.5269606,-2.0739522,-1.4935974,1.076397,10,5.0,MAP,t-Distribution,Sequential RNN
134,6.3665624,-2.3791142,-1.42576,-1.0449752,0.7062502,10,5.0,MAP,t-Distribution,Sequential RNN
135,4.552597,-2.964604,-1.7427276,-1.2546906,0.9051729,10,5.0,MAP,t-Distribution,Sequential RNN
136,5.932813,-3.6868443,-2.3864357,-1.8670317,0.9633501,10,5.0,MAP,t-Distribution,Sequential RNN
137,3.3789473,-2.807945,-1.7056789,-1.2654163,0.8165649,10,5.0,MAP,t-Distribution,Sequential RNN
138,-0.42831612,-3.564618,-2.2384772,-1.7087954,0.98241264,10,5.0,MAP,t-Distribution,Sequential RNN
139,2.1829484,-3.7725217,-2.4314673,-1.8958287,0.9934608,10,5.0,MAP,t-Distribution,Sequential RNN
140,1.4780242,-4.8250117,-3.0317743,-2.3155267,1.3284403,10,5.0,MAP,t-Distribution,Sequential RNN
141,1.4016675,-3.7687652,-2.3479667,-1.780477,1.0525355,10,5.0,MAP,t-Distribution,Sequential RNN
142,-2.0248272,-3.8952758,-2.260766,-1.6079167,1.2108542,10,5.0,MAP,t-Distribution,Sequential RNN
143,4.8769226,-3.5375564,-2.0752037,-1.4911165,1.0833193,10,5.0,MAP,t-Distribution,Sequential RNN
144,-0.11950174,-2.2352195,-1.3031006,-0.9307973,0.6905191,10,5.0,MAP,t-Distribution,Sequential RNN
