Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,Model,Estimation_Method,Distribution
-0.3095412,0.053465165,-2.0203185,-0.07877885,-0.76803786,-0.12086585,0.031004045,-0.51921225,2.4690912,0.69651496,-0.2546014,-0.2939432,3.5847583,0.9401054,-0.8767144,0.08600737,0.24984713,-0.2066936,-0.023808325,-0.6110755,0.69897103,-0.33116284,0.3216216,0.22855155,0.18465039,-2.334523,-0.09373687,0.6565086,-0.358083,163,Sequential LSTM,MAP,t-Distribution
-0.1757459,0.013364448,-1.4089419,-0.044961758,-0.47648352,0.014956803,0.06418689,-0.45854843,2.8979971,0.48071775,-0.3046176,-0.2523586,2.3367188,1.3655821,-1.212665,-0.005093824,-0.28063294,0.72757477,0.0068196417,-0.8327074,0.49681267,-0.19722034,0.10194394,0.028203424,-0.21663722,-2.899693,-0.105550736,0.5208854,0.8160942,164,Sequential LSTM,MAP,t-Distribution
-0.13628507,-0.07363396,-1.4552215,-0.05701688,-0.44494507,-0.11109717,-0.0054924088,-0.1941853,2.1592026,1.1258625,0.38470733,0.3732287,1.7569818,0.8777864,-0.9540434,-0.0016535758,-0.36739674,-0.18796222,-0.059293337,-0.95364183,0.53470796,-0.06014282,-0.35097423,-0.08745617,0.07932044,-1.8034139,0.020000217,0.41099668,0.58106065,165,Sequential LSTM,MAP,t-Distribution
-0.17421256,-0.1026943,-1.5125507,-0.13977258,-0.54365945,-0.18316382,0.024100062,-0.21309859,2.6821837,1.7832569,0.66083586,0.32670483,1.4931767,0.9234153,-0.8827193,-0.0018012415,-0.43240207,-1.2275457,-0.049081188,-1.1750792,0.60145235,0.028254732,-0.21676667,-0.08647422,0.23311855,-1.8212132,0.10200334,0.50060624,0.4031263,166,Sequential LSTM,MAP,t-Distribution
-0.27252993,-0.080142364,-2.0176804,-0.07675379,-0.83302945,-0.30049577,0.02227559,-0.24394865,2.027669,1.3501459,0.12673967,0.22897178,3.0014446,0.5577079,-0.44489112,0.01227307,-0.00059174304,-1.567856,0.0517643,-0.6725487,0.44811007,0.110778235,-0.04869911,0.31125423,0.30837238,-1.2664093,0.22770756,0.34224138,-0.30187923,167,Sequential LSTM,MAP,t-Distribution
-0.3180522,-0.10588515,-2.04133,-0.10995551,-0.8036283,-0.23685136,0.010310348,-0.1619809,1.951356,1.9026337,0.425613,0.3191682,2.6610942,0.53771555,-0.5334777,-0.03793518,-0.3385556,-1.4965096,0.050604872,-1.2473907,0.5476168,0.08343938,-0.19091314,0.10832746,0.22433645,-1.1463223,0.20867382,0.2864099,0.45148787,168,Sequential LSTM,MAP,t-Distribution
-0.1541241,-0.060809907,-1.2282814,-0.08863444,-0.46594724,-0.00010380927,0.06400359,-0.3098003,2.8113658,1.9332149,0.098573565,0.74897605,1.4302571,1.1192957,-0.9170039,-0.13252337,-0.64223975,-0.4518229,-0.09103302,-1.6062496,0.535776,0.07897287,-0.6840482,0.038766965,-0.16909079,-2.0829363,0.080588095,0.28048518,0.86437315,169,Sequential LSTM,MAP,t-Distribution
-0.21699199,-0.043954737,-1.5524191,-0.03784271,-0.5180465,-0.14531353,0.053027272,-0.28014362,2.0420244,2.0347211,0.39292306,0.63516563,1.7963549,0.90424997,-0.7300365,-0.073476,-0.48642918,-0.91945934,-0.010754666,-1.5507275,0.6629127,0.14822851,-0.52605975,0.024634639,-0.018383505,-1.3095229,0.12293984,0.2204686,0.38191065,170,Sequential LSTM,MAP,t-Distribution
-0.14802921,-0.07028214,-1.4377495,-0.030030945,-0.2640832,-0.1221806,-0.0014475647,0.0012269014,0.85778093,1.5894306,0.2175465,0.5049248,1.5123607,1.3870866,-0.811468,-0.124050215,-0.6315267,-0.06495566,-0.0034207816,-1.2287444,0.4918742,0.17817895,-0.62680066,-0.041520037,0.031844016,-0.3712558,0.07347668,0.014596179,0.117218345,171,Sequential LSTM,MAP,t-Distribution
-0.3464365,0.0039142766,-1.9207562,-0.00014356944,-0.6214274,-0.33183855,0.05801905,-0.26822522,1.5008192,1.2901748,0.03540564,0.37058267,2.6991074,1.1391873,-0.6470668,-0.084289245,-0.44455987,-0.8837948,0.0016472709,-0.77953094,0.66545486,0.070841946,-0.33411184,0.28273383,0.05650182,-0.71734,0.20314835,0.12003614,-0.118053585,172,Sequential LSTM,MAP,t-Distribution
