Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
155,1.6858268,2.4998763,1.4951304,1.0938188,0.7443216,29,5.0,MAP,t-Distribution,Sequential LSTM
156,1.2259438,2.2774925,1.378231,1.0190517,0.666178,29,5.0,MAP,t-Distribution,Sequential LSTM
157,-3.4615407,2.7422943,1.7327013,1.3294536,0.7479122,29,5.0,MAP,t-Distribution,Sequential LSTM
158,-0.14055708,2.1464605,1.0670917,0.6359745,0.79960257,29,5.0,MAP,t-Distribution,Sequential LSTM
159,-2.4003017,2.3612564,1.4257919,1.0521523,0.6929974,29,5.0,MAP,t-Distribution,Sequential LSTM
160,0.06497774,3.5013547,2.2851536,1.7993835,0.9009686,29,5.0,MAP,t-Distribution,Sequential LSTM
161,0.28532478,2.3808177,1.2817173,0.84271896,0.8142199,29,5.0,MAP,t-Distribution,Sequential LSTM
162,2.5637488,1.559931,0.69415486,0.34835002,0.6413719,29,5.0,MAP,t-Distribution,Sequential LSTM
163,-0.56840515,2.4831374,1.3586386,0.9094959,0.83303505,29,5.0,MAP,t-Distribution,Sequential LSTM
164,2.0768926,2.1722655,1.1212424,0.701447,0.7786039,29,5.0,MAP,t-Distribution,Sequential LSTM
165,0.032058425,1.9540725,1.0936494,0.74998266,0.6374063,29,5.0,MAP,t-Distribution,Sequential LSTM
166,-0.5697143,2.0885563,1.0859317,0.68546736,0.74275005,29,5.0,MAP,t-Distribution,Sequential LSTM
167,-0.5411578,2.7910266,1.8225967,1.4357903,0.7174184,29,5.0,MAP,t-Distribution,Sequential LSTM
168,-0.29802924,2.301204,1.2366397,0.81143576,0.78863525,29,5.0,MAP,t-Distribution,Sequential LSTM
169,0.7283376,2.0715642,0.9778147,0.54095364,0.8102559,29,5.0,MAP,t-Distribution,Sequential LSTM
170,-0.39965987,2.0474138,1.1001408,0.7217848,0.70174533,29,5.0,MAP,t-Distribution,Sequential LSTM
171,0.74010575,1.6329474,0.9929807,0.73736775,0.47409102,29,5.0,MAP,t-Distribution,Sequential LSTM
172,-0.2446602,2.312321,1.4160491,1.0580637,0.6639633,29,5.0,MAP,t-Distribution,Sequential LSTM
173,0.28745618,1.8176588,1.0116525,0.6897206,0.59709406,29,5.0,MAP,t-Distribution,Sequential LSTM
174,-1.4461039,2.102584,1.2833252,0.9561002,0.6069114,29,5.0,MAP,t-Distribution,Sequential LSTM
175,-0.9321617,1.9417951,1.1369166,0.81543523,0.5962586,29,5.0,MAP,t-Distribution,Sequential LSTM
176,-0.8629725,1.9228507,1.15551,0.84902173,0.56845045,29,5.0,MAP,t-Distribution,Sequential LSTM
177,2.2077641,1.9641643,1.1048089,0.7615687,0.6366153,29,5.0,MAP,t-Distribution,Sequential LSTM
178,-1.0016192,1.7958655,1.0833082,0.79870147,0.5278665,29,5.0,MAP,t-Distribution,Sequential LSTM
179,0.12115651,1.6590066,0.9431921,0.6572843,0.5302795,29,5.0,MAP,t-Distribution,Sequential LSTM
180,-0.83209133,1.6850679,0.93658257,0.6376255,0.5544822,29,5.0,MAP,t-Distribution,Sequential LSTM
181,0.8185491,1.7560617,0.91668355,0.58142245,0.6218161,29,5.0,MAP,t-Distribution,Sequential LSTM
182,-1.386918,1.5890383,0.8754823,0.59047663,0.5286063,29,5.0,MAP,t-Distribution,Sequential LSTM
183,1.2363528,2.4290328,1.4756695,1.094881,0.7062569,29,5.0,MAP,t-Distribution,Sequential LSTM
184,0.7747728,1.5266606,0.7089637,0.38236246,0.6057545,29,5.0,MAP,t-Distribution,Sequential LSTM
185,-1.062243,1.9851948,1.0646999,0.6970394,0.6819079,29,5.0,MAP,t-Distribution,Sequential LSTM
186,-0.17370252,2.3414476,1.3777763,0.99287057,0.7138932,29,5.0,MAP,t-Distribution,Sequential LSTM
187,-2.6343424,2.2020617,1.2815278,0.9138519,0.6819366,29,5.0,MAP,t-Distribution,Sequential LSTM
188,-1.2812502,3.7100954,2.6296532,2.1981075,0.80039763,29,5.0,MAP,t-Distribution,Sequential LSTM
189,-0.45707062,2.8920434,1.5866052,1.0651923,0.967076,29,5.0,MAP,t-Distribution,Sequential LSTM
190,1.5469514,2.782568,1.5870175,1.1094956,0.8856705,29,5.0,MAP,t-Distribution,Sequential LSTM
191,1.1973029,2.0034032,1.166692,0.8324962,0.6198404,29,5.0,MAP,t-Distribution,Sequential LSTM
192,0.5778118,2.6916718,1.6159084,1.1862313,0.79693174,29,5.0,MAP,t-Distribution,Sequential LSTM
193,0.32967556,2.4584198,1.4564074,1.0561876,0.7422965,29,5.0,MAP,t-Distribution,Sequential LSTM
194,-1.057939,2.4105012,1.4118949,1.0130355,0.73977333,29,5.0,MAP,t-Distribution,Sequential LSTM
195,-0.2085299,2.32486,1.3604444,0.97524136,0.7144446,29,5.0,MAP,t-Distribution,Sequential LSTM
196,-0.3511967,2.1477747,1.2139363,0.8409464,0.69179267,29,5.0,MAP,t-Distribution,Sequential LSTM
197,0.50643796,2.4468336,1.3891994,0.9667633,0.78350145,29,5.0,MAP,t-Distribution,Sequential LSTM
198,-0.23930405,1.9746344,0.93623316,0.5214791,0.76925355,29,5.0,MAP,t-Distribution,Sequential LSTM
199,-0.5563766,2.221329,1.4574792,1.1523855,0.56586426,29,5.0,MAP,t-Distribution,Sequential LSTM
200,-0.53592753,2.0599391,1.0807861,0.6896967,0.72536206,29,5.0,MAP,t-Distribution,Sequential LSTM
201,0.052522257,1.7377353,0.9408585,0.62257314,0.59033084,29,5.0,MAP,t-Distribution,Sequential LSTM
202,-0.6893263,1.5718113,0.806935,0.50143117,0.56662476,29,5.0,MAP,t-Distribution,Sequential LSTM
203,0.7483181,1.8252926,1.0478033,0.7372616,0.57596856,29,5.0,MAP,t-Distribution,Sequential LSTM
204,0.9045601,1.654742,0.86219174,0.5456345,0.5871257,29,5.0,MAP,t-Distribution,Sequential LSTM
205,-0.08452997,2.3185372,1.4069252,1.0428128,0.67532736,29,5.0,MAP,t-Distribution,Sequential LSTM
206,0.36032948,1.546199,0.7547822,0.4386777,0.58628607,29,5.0,MAP,t-Distribution,Sequential LSTM
207,0.21338327,2.0858536,1.1621363,0.7931889,0.68429494,29,5.0,MAP,t-Distribution,Sequential LSTM
208,-0.5432841,2.2647886,1.2835667,0.891651,0.7268948,29,5.0,MAP,t-Distribution,Sequential LSTM
209,-0.13380699,2.4440908,1.6493335,1.3318948,0.58876073,29,5.0,MAP,t-Distribution,Sequential LSTM
210,2.559118,2.1324875,1.1061566,0.6962236,0.76031184,29,5.0,MAP,t-Distribution,Sequential LSTM
211,-0.9661886,1.9840751,1.1331971,0.7933428,0.6303353,29,5.0,MAP,t-Distribution,Sequential LSTM
212,1.4201088,2.319931,1.3812174,1.0062801,0.69540447,29,5.0,MAP,t-Distribution,Sequential LSTM
213,-0.3367297,2.0415506,1.1463255,0.7887582,0.66318786,29,5.0,MAP,t-Distribution,Sequential LSTM
214,-0.6439356,1.5822217,0.73119134,0.3912762,0.63044816,29,5.0,MAP,t-Distribution,Sequential LSTM
215,-0.80252707,2.3106406,1.4383565,1.0899523,0.646193,29,5.0,MAP,t-Distribution,Sequential LSTM
216,0.18687578,2.0074115,1.133515,0.78446686,0.6473874,29,5.0,MAP,t-Distribution,Sequential LSTM
217,0.4185716,2.4161832,1.5725666,1.2356128,0.624956,29,5.0,MAP,t-Distribution,Sequential LSTM
218,0.69822156,2.3561375,1.408984,1.0306756,0.7016568,29,5.0,MAP,t-Distribution,Sequential LSTM
219,1.1926361,1.6013498,0.79891974,0.47841632,0.5944448,29,5.0,MAP,t-Distribution,Sequential LSTM
220,0.344845,1.9120344,1.039392,0.6908447,0.64645845,29,5.0,MAP,t-Distribution,Sequential LSTM
221,0.5610418,1.7741431,0.80892617,0.42340314,0.7150381,29,5.0,MAP,t-Distribution,Sequential LSTM
222,-0.8202689,2.147341,1.1951332,0.8148063,0.7054009,29,5.0,MAP,t-Distribution,Sequential LSTM
223,1.4931005,1.7367117,0.89411515,0.5575686,0.62420034,29,5.0,MAP,t-Distribution,Sequential LSTM
224,0.4294405,1.4884552,0.73611796,0.43562245,0.5573357,29,5.0,MAP,t-Distribution,Sequential LSTM
225,-0.671486,1.9615529,1.1659478,0.84817034,0.5893888,29,5.0,MAP,t-Distribution,Sequential LSTM
