Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model,Estimation_Method,Distribution
-0.1899551,-0.11500918,0.37554097,-0.16063225,1.0900556,233,Sequential RNN,MAP,t-Distribution
-0.67886823,-0.112801686,0.6248378,0.008237111,1.158595,234,Sequential RNN,MAP,t-Distribution
-0.24822894,-0.11583401,0.5397959,-0.26806697,1.092334,235,Sequential RNN,MAP,t-Distribution
-0.64121616,-0.13919243,0.67714995,-0.039403345,1.1426619,236,Sequential RNN,MAP,t-Distribution
-0.4368516,-0.12767796,0.52246,-0.1376265,1.1796961,237,Sequential RNN,MAP,t-Distribution
-0.5477103,-0.028864384,0.3044431,-0.030468993,1.3026006,238,Sequential RNN,MAP,t-Distribution
-0.66191775,-0.09525578,0.6209693,-0.07476514,1.2109694,239,Sequential RNN,MAP,t-Distribution
-0.6854434,-0.10302886,0.4385992,0.27256,1.0773131,240,Sequential RNN,MAP,t-Distribution
-0.6138322,-0.15189654,0.64232236,0.029065738,1.0943406,241,Sequential RNN,MAP,t-Distribution
-0.52153105,-0.17070863,0.6696292,-0.048221014,1.0708314,242,Sequential RNN,MAP,t-Distribution
-0.24252194,-0.14826389,0.5014071,-0.010884042,0.9002628,243,Sequential RNN,MAP,t-Distribution
-0.5808882,-0.113598116,0.5848746,-0.11816849,1.2277802,244,Sequential RNN,MAP,t-Distribution
-0.09940352,-0.08260386,0.32919833,-0.07341301,0.926222,245,Sequential RNN,MAP,t-Distribution
-0.53137195,-0.15250653,0.6049208,-0.0058516883,1.0848093,246,Sequential RNN,MAP,t-Distribution
-0.5479306,-0.026720613,0.23944259,0.06975793,1.2654507,247,Sequential RNN,MAP,t-Distribution
-0.4545275,0.05257709,0.21629569,-0.22546774,1.4111224,248,Sequential RNN,MAP,t-Distribution
-0.6212042,-0.08862058,0.5298184,-0.054658227,1.2346646,249,Sequential RNN,MAP,t-Distribution
