Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day
-0.14349297,0.09701751,-0.14064156,0.21400301,-0.25820842,-0.042922217,1.7832605,-1.127072,-0.27002585,0.04010568,-0.16110556,0.17975351,0.702916,0.14876251,-0.14492531,0.029116657,0.14608802,0.013326276,-0.0067592263,-0.07358166,0.0068661897,-0.06806735,-0.13821946,0.051615987,0.082817666,0.107860886,-0.02648959,-0.033768546,0.031769283,127
-0.16098168,0.10699866,-0.24030907,0.1634588,-0.26999196,-0.050313946,1.6963488,-1.1435568,-0.36507604,-0.1372105,-0.23819944,0.17600784,1.0820981,0.21229361,-0.18040837,0.015320785,0.17316756,-0.04061173,0.0027651172,0.0652546,0.006309867,-0.07483878,-0.1441257,0.07727821,0.08084684,0.16298832,-0.010957595,-0.039612114,0.07505668,128
-0.17475778,0.08539418,-0.14075401,-0.114528075,0.008629689,0.04505902,1.5127732,-0.7160787,-0.29759243,-0.28869712,-0.20649658,0.31993273,0.75340635,-0.032044206,-0.12152556,0.017177911,0.08797656,-0.12969998,0.006582815,0.18427981,-0.0005907806,-0.063511305,-0.3063658,0.067773014,0.045098815,0.12018535,-0.05903227,0.01845833,0.37894684,129
-0.19278678,0.08788482,-0.30247924,-0.15546802,-0.03230022,0.000566816,1.3539138,-0.6904939,-0.33302835,-0.19400223,-0.34813428,0.1191235,1.2027817,0.10523516,-0.16382086,0.02216781,0.15842156,-0.13031742,0.015530423,0.10701623,-0.0024744126,-0.07270924,-0.12655751,0.12422242,0.039816696,0.0932503,-0.052728735,0.016363917,0.3510061,130
-0.16478154,0.07191533,-0.6042423,-0.11560368,-0.08020602,0.033458423,0.95676494,-0.5899362,-0.18498643,-0.12026894,-0.21500178,0.16589977,1.611572,0.14428124,-0.20105836,0.008485596,0.17970343,-0.24023622,0.0014710815,0.08317717,-0.0132714985,-0.06886118,-0.16761602,0.10493251,0.040519703,-0.00013683218,-0.033221226,0.03509588,0.3621512,131
-0.1393326,0.084023714,-0.2684773,-0.110489495,0.24639407,-0.0051583913,0.83775806,-0.54737663,-0.21141812,-0.4061005,-0.38728335,0.1240903,1.1637189,0.21859223,-0.25804266,0.010959075,0.22611345,-0.18733875,0.010892279,0.27324682,-0.009572183,-0.10450376,-0.13234168,0.1549472,0.023764597,-0.055373035,-0.048037637,0.051949874,0.44439548,132
-0.06913276,0.06139087,0.21082531,-0.19276688,0.74339014,0.0767152,0.82936877,-0.23850095,-0.4024873,-0.024640493,-0.27692088,-0.101916656,-0.2032862,0.13053034,-0.20569222,0.03158116,0.535922,-0.09268915,0.036841888,-0.015997246,0.052046254,-0.24924177,0.044636384,0.105444156,0.028743314,-0.10017315,-0.0993065,0.047028393,0.338288,133
-0.061163966,0.071154356,0.081124365,-0.13710204,0.22880566,0.12872149,1.1392994,-0.5555101,-0.11189561,0.2678465,-0.31283084,0.25521642,-0.01317257,-0.1126747,-0.05923736,0.009323147,0.89653534,-0.049419068,0.054851897,-0.36178017,0.14814919,-0.33803087,-0.2396954,0.17675899,0.02590476,-0.5657386,-0.10987975,0.16681147,0.37762815,134
-0.0971116,0.08223637,-0.048172995,-0.15051596,0.17876694,0.09289564,1.1740115,-0.60321563,-0.31277275,0.015105498,-0.42463693,0.3285114,0.40458676,-0.0015458984,-0.13925338,0.008003771,0.96936375,-0.15156406,0.038011987,-0.14817733,0.14958678,-0.35178557,-0.304685,0.21323043,0.0291781,-0.47201288,-0.107591,0.14529888,0.4842532,135
-0.13376382,0.09533722,-0.59435827,-0.1313809,-0.245575,0.038879048,1.0634519,-0.6320098,-0.33343378,-0.5186638,-0.6952885,0.3662994,1.8465071,-0.04690043,-0.04177177,-0.011843351,0.9318421,-0.22077137,0.011416941,0.20057693,0.18033409,-0.28744334,-0.34517586,0.3107155,0.07861299,-0.46148542,-0.09969028,0.12771839,0.54786414,136
