Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
153,1.495513,1.7004389,0.9273005,0.5151433,1.1344752,5,MAP,Normal,Sequential RNN
154,0.28685206,2.93305,2.1241992,1.6930039,1.1868783,5,MAP,Normal,Sequential RNN
155,2.0027957,4.593363,3.4601674,2.8560653,1.6628098,5,MAP,Normal,Sequential RNN
156,0.24009408,2.395839,1.5196285,1.052524,1.2857194,5,MAP,Normal,Sequential RNN
157,0.46922573,1.1066512,0.46298727,0.11985243,0.9444892,5,MAP,Normal,Sequential RNN
158,-0.8353206,2.520571,1.5143632,0.9779575,1.476473,5,MAP,Normal,Sequential RNN
159,1.4136947,3.9747021,2.883327,2.3015192,1.601444,5,MAP,Normal,Sequential RNN
160,-3.5924208,3.2459188,2.2876625,1.7768198,1.4061104,5,MAP,Normal,Sequential RNN
161,-0.3558491,3.7481458,2.7898653,2.2790096,1.4061462,5,MAP,Normal,Sequential RNN
162,0.15468971,2.3649967,1.5352043,1.0928452,1.2176071,5,MAP,Normal,Sequential RNN
163,0.534788,3.1534753,2.368736,1.9503944,1.151498,5,MAP,Normal,Sequential RNN
164,2.5249946,2.4374645,1.6308414,1.2008337,1.1836096,5,MAP,Normal,Sequential RNN
165,0.7991041,1.9976223,1.1864719,0.75405073,1.1902525,5,MAP,Normal,Sequential RNN
166,0.97704387,3.7741997,2.8054633,2.2890337,1.4214886,5,MAP,Normal,Sequential RNN
167,-1.3823879,3.0200894,2.1280527,1.6525112,1.3089423,5,MAP,Normal,Sequential RNN
168,-1.7963537,4.188842,3.1786861,2.640176,1.4822657,5,MAP,Normal,Sequential RNN
169,-0.20251432,4.261059,3.027051,2.3692057,1.8107388,5,MAP,Normal,Sequential RNN
170,1.0897444,2.7228343,1.8903971,1.4466277,1.2214885,5,MAP,Normal,Sequential RNN
171,-0.45311782,2.3728662,1.4091209,0.89535195,1.4141648,5,MAP,Normal,Sequential RNN
172,1.5410486,2.852993,2.0033994,1.5504843,1.246663,5,MAP,Normal,Sequential RNN
173,-1.6398555,2.3561363,1.516038,1.0681846,1.23273,5,MAP,Normal,Sequential RNN
174,0.34646404,4.0838075,2.909925,2.2841325,1.722513,5,MAP,Normal,Sequential RNN
175,1.7572813,3.6378171,2.5905406,2.0322416,1.5367354,5,MAP,Normal,Sequential RNN
176,1.5078461,2.7969332,1.8775408,1.3874161,1.3490831,5,MAP,Normal,Sequential RNN
177,3.2629712,1.8617313,1.1056737,0.7026221,1.1094116,5,MAP,Normal,Sequential RNN
178,-0.9311725,2.780204,2.033719,1.6357706,1.0953652,5,MAP,Normal,Sequential RNN
179,-0.57831407,3.554861,2.5389845,1.9974244,1.4906607,5,MAP,Normal,Sequential RNN
180,-0.33088425,1.8950001,1.1334246,0.72743154,1.1175084,5,MAP,Normal,Sequential RNN
181,0.5135219,2.1921866,1.2833211,0.79880834,1.3336364,5,MAP,Normal,Sequential RNN
182,-0.48180452,1.9800607,1.0945088,0.62242436,1.2994268,5,MAP,Normal,Sequential RNN
183,0.4132687,2.522931,1.7179792,1.2888622,1.1811575,5,MAP,Normal,Sequential RNN
184,2.4856074,2.1597826,1.2738768,0.8016037,1.2999462,5,MAP,Normal,Sequential RNN
185,2.7883215,2.005912,1.3294386,0.96881294,0.9926328,5,MAP,Normal,Sequential RNN
186,-0.19261795,3.3957093,2.4394069,1.9296054,1.4032438,5,MAP,Normal,Sequential RNN
187,-0.6832421,3.4191396,2.5198624,2.040461,1.3195671,5,MAP,Normal,Sequential RNN
