Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
145,-1.9480839,1.2412485,0.88553756,0.6959094,0.5219574,29,MAP,Normal,Sequential LSTM
146,3.3661697,2.005316,1.4201998,1.1082765,0.8585784,29,MAP,Normal,Sequential LSTM
147,-2.4953916,1.3053571,0.8596716,0.6220783,0.6539828,29,MAP,Normal,Sequential LSTM
148,-0.12978944,1.7842265,1.1355596,0.78975767,0.9518304,29,MAP,Normal,Sequential LSTM
149,3.155599,1.3767228,0.8322113,0.5419343,0.7989964,29,MAP,Normal,Sequential LSTM
150,0.24202396,1.8138207,1.367714,1.1298962,0.6546008,29,MAP,Normal,Sequential LSTM
151,0.2707372,2.1482964,1.5675559,1.2579653,0.8521574,29,MAP,Normal,Sequential LSTM
152,0.461714,2.2005897,1.6049309,1.2873873,0.87404823,29,MAP,Normal,Sequential LSTM
153,0.060726184,1.372159,0.90015185,0.6485266,0.6926062,29,MAP,Normal,Sequential LSTM
154,1.3448638,1.7961549,1.3035315,1.0409158,0.72285765,29,MAP,Normal,Sequential LSTM
155,1.3709177,1.5601126,0.98442286,0.6775248,0.84474635,29,MAP,Normal,Sequential LSTM
156,1.3245445,1.5379021,1.1251525,0.9051172,0.60565394,29,MAP,Normal,Sequential LSTM
157,-1.9607214,1.7744067,1.3322886,1.0965972,0.64874804,29,MAP,Normal,Sequential LSTM
158,-1.072081,1.3366874,0.92317927,0.7027396,0.60676694,29,MAP,Normal,Sequential LSTM
159,-2.8732202,1.9555387,1.3934504,1.0938032,0.82478815,29,MAP,Normal,Sequential LSTM
160,1.1894457,2.3874822,1.7646145,1.4325659,0.9139737,29,MAP,Normal,Sequential LSTM
161,0.4581965,1.6502651,1.1249272,0.84487134,0.770862,29,MAP,Normal,Sequential LSTM
162,2.3893857,0.964506,0.55165184,0.3315608,0.60580724,29,MAP,Normal,Sequential LSTM
163,-0.7636449,1.722693,1.1713051,0.8773623,0.8090865,29,MAP,Normal,Sequential LSTM
164,2.773325,1.2335075,0.7770038,0.53364336,0.669857,29,MAP,Normal,Sequential LSTM
165,0.13475846,1.2612101,0.86217594,0.6494524,0.58552814,29,MAP,Normal,Sequential LSTM
166,-1.2086573,1.472913,1.0425793,0.81317,0.63145614,29,MAP,Normal,Sequential LSTM
167,0.1855442,2.1559632,1.6089319,1.3173115,0.802694,29,MAP,Normal,Sequential LSTM
168,0.26623142,1.7623185,1.1889305,0.8832595,0.84136885,29,MAP,Normal,Sequential LSTM
169,0.73505175,1.3514144,0.8940888,0.6502902,0.6710632,29,MAP,Normal,Sequential LSTM
170,-0.45671842,1.4582748,1.0104258,0.7716791,0.6571575,29,MAP,Normal,Sequential LSTM
171,-0.2473579,0.8114333,0.49080008,0.31987172,0.47048554,29,MAP,Normal,Sequential LSTM
172,-1.1084371,1.8846484,1.3544347,1.0717797,0.7780165,29,MAP,Normal,Sequential LSTM
173,0.071243234,1.1549447,0.7978701,0.607515,0.52395827,29,MAP,Normal,Sequential LSTM
174,-1.5746707,1.589788,1.1552142,0.9235446,0.63767785,29,MAP,Normal,Sequential LSTM
175,-0.04862184,1.2409757,0.82191604,0.5985168,0.6149131,29,MAP,Normal,Sequential LSTM
176,-0.6718692,1.5811651,1.1951958,0.989437,0.5663574,29,MAP,Normal,Sequential LSTM
177,1.6991922,1.4040408,1.0667675,0.8869683,0.49490273,29,MAP,Normal,Sequential LSTM
178,-0.7799566,1.227812,0.8610732,0.6655661,0.5381393,29,MAP,Normal,Sequential LSTM
179,0.3433404,1.1837645,0.80993164,0.61064273,0.5485488,29,MAP,Normal,Sequential LSTM
180,-1.0421176,1.2436136,0.8588299,0.65370315,0.56461763,29,MAP,Normal,Sequential LSTM
181,0.21991098,1.1295706,0.7532009,0.55255955,0.5522713,29,MAP,Normal,Sequential LSTM
182,-0.84055144,1.0321082,0.6852059,0.5002735,0.50903195,29,MAP,Normal,Sequential LSTM
183,1.122814,1.7506928,1.2764773,1.0236748,0.6958466,29,MAP,Normal,Sequential LSTM
184,0.92532027,0.8364403,0.51700926,0.34672168,0.46872166,29,MAP,Normal,Sequential LSTM
185,-1.0142564,1.1549379,0.813721,0.63181955,0.50068927,29,MAP,Normal,Sequential LSTM
186,0.009685357,1.876824,1.3608807,1.0858333,0.75707656,29,MAP,Normal,Sequential LSTM
187,-2.861565,1.7092999,1.274524,1.0427464,0.63797456,29,MAP,Normal,Sequential LSTM
