Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
121,-0.95866597,-3.8490093,-2.6939762,-2.0782323,1.6948539,15,MAP,Normal,Sequential LSTM
122,2.5268974,-3.1278641,-2.3740897,-1.9722553,1.1060613,15,MAP,Normal,Sequential LSTM
123,-4.726578,-3.5948007,-2.7543368,-2.3062885,1.2332664,15,MAP,Normal,Sequential LSTM
124,-6.9995522,-2.7006881,-1.972765,-1.5847118,1.0681281,15,MAP,Normal,Sequential LSTM
125,-8.120855,-1.2483182,-0.7272454,-0.4494634,0.7646034,15,MAP,Normal,Sequential LSTM
126,-2.6935837,-3.3386955,-2.6519299,-2.2858176,1.0077351,15,MAP,Normal,Sequential LSTM
127,5.7091136,-1.65897,-1.1004736,-0.8027413,0.8195174,15,MAP,Normal,Sequential LSTM
128,-0.5752437,-1.2318374,-0.9466128,-0.7945606,0.4185282,15,MAP,Normal,Sequential LSTM
129,-4.8195977,-1.7355481,-1.1594234,-0.85229343,0.84538454,15,MAP,Normal,Sequential LSTM
130,-5.9763412,-2.2913,-1.5909349,-1.2175728,1.0276905,15,MAP,Normal,Sequential LSTM
131,-5.1654863,-1.3970577,-0.8734791,-0.59436136,0.76828027,15,MAP,Normal,Sequential LSTM
132,4.267016,-3.5363994,-2.6508179,-2.1787179,1.2994701,15,MAP,Normal,Sequential LSTM
133,-0.18476516,-1.543484,-1.2060838,-1.026217,0.49508885,15,MAP,Normal,Sequential LSTM
134,4.383485,-1.79826,-1.3204708,-1.0657632,0.70109046,15,MAP,Normal,Sequential LSTM
135,0.76784515,-1.2819288,-0.9663027,-0.7980436,0.46313834,15,MAP,Normal,Sequential LSTM
136,4.486903,-1.5214396,-0.8486186,-0.48994026,0.98727316,15,MAP,Normal,Sequential LSTM
137,2.4854827,-1.323246,-0.85630673,-0.6073832,0.6851697,15,MAP,Normal,Sequential LSTM
138,-0.26139492,-2.908093,-2.1302218,-1.7155417,1.1414199,15,MAP,Normal,Sequential LSTM
139,3.2565725,-2.7674758,-2.1306586,-1.7911736,0.93444276,15,MAP,Normal,Sequential LSTM
140,1.2372248,-3.5291286,-2.658586,-2.194503,1.2774026,15,MAP,Normal,Sequential LSTM
141,-0.81506205,-3.6360624,-2.5434582,-1.9609951,1.6032476,15,MAP,Normal,Sequential LSTM
142,2.0165927,-1.999887,-1.546812,-1.3052794,0.6648259,15,MAP,Normal,Sequential LSTM
143,1.4370689,-1.4369363,-0.94945455,-0.68957984,0.7153131,15,MAP,Normal,Sequential LSTM
144,-2.5407648,-2.105163,-1.6372089,-1.3877443,0.686659,15,MAP,Normal,Sequential LSTM
145,-2.0075283,-1.9953644,-1.5357803,-1.2907778,0.67437696,15,MAP,Normal,Sequential LSTM
146,3.9861405,-2.2504807,-1.6848719,-1.3833481,0.8299536,15,MAP,Normal,Sequential LSTM
147,0.757087,-1.7402844,-1.1564423,-0.8451982,0.8567088,15,MAP,Normal,Sequential LSTM
148,-0.3356269,-3.4639637,-2.3307025,-1.7265652,1.6629065,15,MAP,Normal,Sequential LSTM
149,2.6802785,-3.0385478,-2.061347,-1.5404049,1.4339089,15,MAP,Normal,Sequential LSTM
150,-1.3990266,-2.1666672,-1.6047447,-1.3051859,0.8245447,15,MAP,Normal,Sequential LSTM
151,-1.4541696,-2.3027678,-1.4637446,-1.0164645,1.231152,15,MAP,Normal,Sequential LSTM
152,0.33059862,-2.0712492,-1.3225424,-0.9234096,1.0986253,15,MAP,Normal,Sequential LSTM
153,2.2510724,-4.099819,-3.1806052,-2.6905756,1.3488214,15,MAP,Normal,Sequential LSTM
154,0.4297913,-2.1970253,-1.5347068,-1.1816273,0.9718621,15,MAP,Normal,Sequential LSTM
155,0.039643407,-2.5955071,-1.857264,-1.4637092,1.0832714,15,MAP,Normal,Sequential LSTM
156,-0.7412034,-1.5079434,-1.0851898,-0.85982144,0.6203333,15,MAP,Normal,Sequential LSTM
157,-3.4653504,-1.8088657,-1.2386222,-0.9346275,0.83675474,15,MAP,Normal,Sequential LSTM
