Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
180,-0.90523607,-3.544589,-2.5460274,-2.0136979,1.4652532,15,MAP,Normal,Sequential RNN
181,0.6956486,-3.677071,-2.595595,-2.0190642,1.5869188,15,MAP,Normal,Sequential RNN
182,-2.3133614,-3.6563761,-2.5578766,-1.9722704,1.6118985,15,MAP,Normal,Sequential RNN
183,-1.7700628,-3.3326278,-2.3484433,-1.8237783,1.4441565,15,MAP,Normal,Sequential RNN
184,2.7948554,-2.9981022,-2.2858193,-1.9061038,1.0451783,15,MAP,Normal,Sequential RNN
185,-1.7691097,-3.3103201,-2.3982322,-1.9120016,1.3383648,15,MAP,Normal,Sequential RNN
186,0.669137,-2.9106917,-2.068919,-1.620173,1.2351869,15,MAP,Normal,Sequential RNN
187,-4.3949447,-3.0716057,-2.2698605,-1.8424531,1.1764519,15,MAP,Normal,Sequential RNN
188,-1.5176786,-2.2351675,-1.1327918,-0.54511935,1.6175864,15,MAP,Normal,Sequential RNN
189,-1.3799506,-3.1526845,-2.4618504,-2.0935693,1.0137049,15,MAP,Normal,Sequential RNN
190,0.9812903,-3.0194829,-2.2925565,-1.9050348,1.0666654,15,MAP,Normal,Sequential RNN
191,1.0451266,-2.4355967,-1.8432074,-1.5274068,0.86925054,15,MAP,Normal,Sequential RNN
192,-1.0586226,-2.4078186,-1.726799,-1.36375,0.99930334,15,MAP,Normal,Sequential RNN
193,0.23963231,-2.8081365,-2.0517435,-1.6485132,1.1099036,15,MAP,Normal,Sequential RNN
194,-1.7094786,-2.5971067,-1.9618413,-1.6231836,0.9321656,15,MAP,Normal,Sequential RNN
195,-0.7472711,-2.8566964,-2.102515,-1.7004639,1.1066583,15,MAP,Normal,Sequential RNN
196,-1.7038248,-1.7412281,-1.2193868,-0.94119525,0.7657309,15,MAP,Normal,Sequential RNN
197,-0.4235183,-4.1319203,-3.0030046,-2.4011836,1.6565305,15,MAP,Normal,Sequential RNN
198,0.931263,-2.6344476,-2.0484974,-1.7361296,0.85980195,15,MAP,Normal,Sequential RNN
199,-2.8171775,-3.248887,-2.354074,-1.8770523,1.3130164,15,MAP,Normal,Sequential RNN
