Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
146,2.3727288,1.6478355,1.041654,0.7995355,0.44906253,29,5.0,Sequential LSTM
147,-1.9697502,0.93274015,0.488947,0.31168896,0.32876447,29,5.0,Sequential LSTM
148,-0.47919264,1.5723906,1.0326049,0.8170065,0.399876,29,5.0,Sequential LSTM
149,5.1337185,1.2003773,0.7326443,0.54582477,0.34649888,29,5.0,Sequential LSTM
150,-1.1347862,0.5661267,0.15549266,-0.008521121,0.30420008,29,5.0,Sequential LSTM
151,-1.2196555,2.0495896,1.4156487,1.1624422,0.46962738,29,5.0,Sequential LSTM
152,0.9271212,1.4143233,0.88883996,0.67895365,0.38928092,29,5.0,Sequential LSTM
153,-0.22242357,1.2199246,0.6782456,0.46189013,0.4012789,29,5.0,Sequential LSTM
154,-0.23332073,1.2955039,0.59029204,0.30861917,0.5224249,29,5.0,Sequential LSTM
155,0.9340469,1.0643303,0.4893896,0.25974903,0.4259195,29,5.0,Sequential LSTM
156,-0.6872676,0.85617906,0.45235598,0.2910627,0.29915437,29,5.0,Sequential LSTM
157,0.87390655,1.9223213,1.2859715,1.031803,0.47141197,29,5.0,Sequential LSTM
158,-1.553952,0.88968104,0.47497126,0.3093296,0.3072194,29,5.0,Sequential LSTM
159,-3.6420765,1.3528183,0.7947619,0.5718652,0.41341138,29,5.0,Sequential LSTM
160,0.22693694,1.859689,1.3643581,1.1665146,0.36694396,29,5.0,Sequential LSTM
161,1.5944399,0.63922656,0.010729808,-0.24030186,0.46559393,29,5.0,Sequential LSTM
162,-0.4326595,1.8066049,0.9531477,0.6122627,0.6322467,29,5.0,Sequential LSTM
163,0.4022519,2.0365272,1.3933144,1.1364048,0.47649562,29,5.0,Sequential LSTM
164,2.790459,1.7701045,1.1233443,0.865018,0.47912338,29,5.0,Sequential LSTM
165,0.71346396,0.7549036,0.33196986,0.16304338,0.31331173,29,5.0,Sequential LSTM
166,-1.4885283,1.8761138,1.2404723,0.9865867,0.4708871,29,5.0,Sequential LSTM
167,-1.0369499,1.5892167,1.0443952,0.82678515,0.4036066,29,5.0,Sequential LSTM
168,0.15901318,1.5281465,0.96223587,0.7362024,0.4192296,29,5.0,Sequential LSTM
169,0.42488584,1.9481877,1.2412846,0.9589367,0.5236776,29,5.0,Sequential LSTM
170,2.5424094,1.8687245,1.1275303,0.8314846,0.5490817,29,5.0,Sequential LSTM
171,-0.4782349,0.4737553,0.11373408,-0.030064188,0.26670587,29,5.0,Sequential LSTM
172,0.838104,1.8446504,1.330217,1.1247439,0.3810953,29,5.0,Sequential LSTM
173,-0.32193175,1.0401741,0.5587598,0.36647525,0.3566346,29,5.0,Sequential LSTM
174,-2.0736706,1.6804075,0.79705477,0.44422936,0.65439296,29,5.0,Sequential LSTM
175,1.0473887,2.0566742,1.2355804,0.9076222,0.60827136,29,5.0,Sequential LSTM
176,-0.25533044,1.0666026,0.56702447,0.36748478,0.37009037,29,5.0,Sequential LSTM
177,0.29707715,1.3463341,0.8651829,0.6730038,0.3564393,29,5.0,Sequential LSTM
178,-0.57085717,1.4902431,0.93709964,0.7161653,0.409772,29,5.0,Sequential LSTM
179,0.12888375,1.6604207,0.9806004,0.7090694,0.5036149,29,5.0,Sequential LSTM
180,0.6754846,1.6321069,0.9591018,0.69029236,0.4985664,29,5.0,Sequential LSTM
181,0.50302976,1.4292656,0.70737946,0.41904682,0.5347773,29,5.0,Sequential LSTM
182,-0.01357317,1.1568581,0.6067565,0.38703704,0.40751863,29,5.0,Sequential LSTM
183,2.2779844,1.9733618,1.2890071,1.015665,0.50697374,29,5.0,Sequential LSTM
184,0.9156387,0.7068362,0.2551227,0.07470103,0.334632,29,5.0,Sequential LSTM
185,-0.33083484,0.95521843,0.42082322,0.20737728,0.39588276,29,5.0,Sequential LSTM
186,-1.5904921,1.7987884,1.2442328,1.0227344,0.41081822,29,5.0,Sequential LSTM
187,-5.2850895,1.4006677,0.98413116,0.81775975,0.30857256,29,5.0,Sequential LSTM
188,-0.47288913,0.9743644,0.60912204,0.46323833,0.27057353,29,5.0,Sequential LSTM
189,0.23167011,1.5599921,1.0569507,0.85602784,0.37265575,29,5.0,Sequential LSTM
190,1.8337785,1.1875637,0.6552705,0.44266427,0.39432585,29,5.0,Sequential LSTM
191,1.0334136,1.2452092,0.8263089,0.6589935,0.31032383,29,5.0,Sequential LSTM
192,-0.26895863,2.037858,1.3434955,1.0661552,0.51438826,29,5.0,Sequential LSTM
193,0.3968045,1.4028563,0.62933236,0.32037458,0.5730311,29,5.0,Sequential LSTM
194,0.22599958,1.3339337,0.6429552,0.36696705,0.5118809,29,5.0,Sequential LSTM
