Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
221,-0.7977926,-2.8101852,-1.8657119,-1.4884746,0.6996703,10,5.0,Sequential RNN
222,-2.351024,-2.692874,-1.4189034,-0.9100593,0.9437645,10,5.0,Sequential RNN
223,2.3592668,-2.0278487,-1.240886,-0.9265606,0.58298624,10,5.0,Sequential RNN
224,1.136374,-2.02404,-1.2499324,-0.9407418,0.57346284,10,5.0,Sequential RNN
225,0.72655493,-1.605084,-0.72964203,-0.37997666,0.6485323,10,5.0,Sequential RNN
226,-1.0606304,-4.7522893,-2.9188447,-2.186538,1.3582258,10,5.0,Sequential RNN
227,0.10964561,-2.7158356,-1.5717016,-1.1147165,0.8475807,10,5.0,Sequential RNN
228,-0.12154045,-1.9878606,-0.9790793,-0.5761556,0.747311,10,5.0,Sequential RNN
229,-0.7709433,-2.654407,-1.6468235,-1.2443792,0.74642295,10,5.0,Sequential RNN
230,1.6847215,-2.6869068,-1.6676189,-1.2604988,0.7550946,10,5.0,Sequential RNN
231,0.04381815,-4.6452775,-2.8956733,-2.1968532,1.2961162,10,5.0,Sequential RNN
232,1.2907871,-2.8447945,-1.6159008,-1.1250606,0.91037196,10,5.0,Sequential RNN
233,-0.3149737,-3.283179,-1.8753686,-1.3130672,1.0429144,10,5.0,Sequential RNN
234,-0.76907563,-3.998898,-2.509888,-1.915152,1.1030681,10,5.0,Sequential RNN
235,0.14872372,-2.811952,-1.7421376,-1.3148366,0.7925247,10,5.0,Sequential RNN
236,-2.2856832,-3.3499994,-1.90661,-1.3300972,1.0692706,10,5.0,Sequential RNN
237,0.05930879,-2.613511,-1.4284271,-0.95508623,0.8779163,10,5.0,Sequential RNN
238,0.3397981,-3.8385959,-2.4832957,-1.9419677,1.0040135,10,5.0,Sequential RNN
239,0.19079413,-1.7481122,-0.89464724,-0.55375934,0.632252,10,5.0,Sequential RNN
240,-2.1034179,-3.3908787,-2.2048995,-1.731201,0.87857956,10,5.0,Sequential RNN
241,1.209281,-3.1395864,-2.1618543,-1.7713332,0.7243089,10,5.0,Sequential RNN
242,0.5481692,-2.459316,-1.4473921,-1.0432132,0.74963915,10,5.0,Sequential RNN
243,1.2122577,-3.072783,-1.7747747,-1.2563295,0.9615718,10,5.0,Sequential RNN
244,0.37576187,-3.0229414,-1.6838167,-1.148949,0.9920314,10,5.0,Sequential RNN
245,-0.76430917,-3.6823084,-2.4875395,-2.0103304,0.88509107,10,5.0,Sequential RNN
246,-2.338569,-2.0169115,-1.3311244,-1.0572096,0.5080351,10,5.0,Sequential RNN
247,-3.0741,-2.4157362,-1.1888887,-0.6988665,0.9088554,10,5.0,Sequential RNN
248,-2.1077676,-2.8641968,-1.5934726,-1.0859256,0.94135964,10,5.0,Sequential RNN
249,0.32106864,-1.608808,-0.60138154,-0.19899952,0.7463069,10,5.0,Sequential RNN
