Day,Actual_Returns,N_Assets,VaR_1_percent,Violation_1_percent,VaR_5_percent,Violation_5_percent,VaR_10_percent,Violation_10_percent
246,-0.011318170179308017,30,-0.014243379175723322,false,-0.010037376399356895,true,-0.00779517188264502,true
247,0.00040602601626232805,30,-0.014717152210469726,false,-0.010378595479068446,false,-0.008065726939413643,false
248,0.006644542203532507,30,-0.014495315728452508,false,-0.010221672779379553,false,-0.007943409536885099,false
249,0.0025806595593887128,30,-0.014725317843122736,false,-0.01038139607131811,false,-0.008065667448476409,false
250,-0.0074717127457660385,30,-0.014451582693138437,false,-0.010185501007809385,false,-0.007911268647038049,false
251,-0.000558226484387708,30,-0.014419495256163649,false,-0.010162010064717567,false,-0.007892360463025846,false
252,0.00536596467895779,30,-0.014771714634661455,false,-0.010409777142002532,false,-0.008084444405036537,false
253,0.004228960105525873,30,-0.01441993101389125,false,-0.010157700847234816,false,-0.007885521716816168,false
254,0.0025335827068629323,30,-0.014277030476793772,false,-0.010052872901836912,false,-0.007800990129174232,false
255,0.0010796959123015196,30,-0.01385348344865956,false,-0.009748890288772927,false,-0.007560746863362907,false
256,-0.0029370047941560083,30,-0.01332927468963537,false,-0.009372881928947361,false,-0.007263743587967822,false
257,0.005767501006299842,30,-0.013043063889850838,false,-0.009170167255865823,false,-0.007105540391072976,false
258,0.003282115246216877,30,-0.012968485527075094,false,-0.00911580398685494,false,-0.007061953713746725,false
259,0.0020666126099824324,30,-0.012882076184409405,false,-0.009048795499476943,false,-0.007005287750534084,false
260,0.00680261262067943,30,-0.012520020771496805,false,-0.008788590667205826,false,-0.006799379085927734,false
261,-0.00412263785771505,30,-0.013018780264913184,false,-0.009143106754611366,false,-0.00707699954732924,false
262,0.0007723361179992702,30,-0.012658205432109191,false,-0.008891702611098718,false,-0.006883793894316178,false
263,0.004962175090895012,30,-0.012274564882337287,false,-0.008618095207969032,false,-0.006668844754508503,false
264,-0.0012727514468146048,30,-0.012341132078335636,false,-0.008662926621338317,false,-0.006702088902586616,false
265,0.0010237239661549282,30,-0.012077125506742193,false,-0.008478283328845097,false,-0.006559753880515728,false
266,0.002887088278321062,30,-0.011680457940319851,false,-0.008196241147939974,false,-0.006338818068484328,false
267,0.00935211515356162,30,-0.011483125191777256,false,-0.00806374108206949,false,-0.0062408800658475564,false
268,-0.0009004455330032382,30,-0.01206782486911219,false,-0.008472578042740283,false,-0.006555965263005201,false
269,-0.0008324938091184047,30,-0.011426867380693017,false,-0.008017903213502675,false,-0.006200597030080124,false
270,-0.0030630399172642147,30,-0.011182308209488668,false,-0.007843515176447406,false,-0.0060636169649871995,false
271,-0.002914673094211131,30,-0.01140284905532899,false,-0.008000473953368802,false,-0.0061866803762390885,false
272,0.0008402342398473718,30,-0.011289526381811835,false,-0.007916749006253247,false,-0.006118733867548483,false
273,0.006937476648288036,30,-0.010988537201211747,false,-0.00770181476943768,false,-0.005949675202837443,false
274,0.002989638131459738,30,-0.011721081861984771,false,-0.008227381902876436,false,-0.006364903382328176,false
275,-0.0024424320048028157,30,-0.011437750411026633,false,-0.00802279861023048,false,-0.006202300441488565,false
276,0.0033364994757205135,30,-0.011378599178477715,false,-0.007978150353430167,false,-0.006165383667394827,false
277,0.004147728239316495,30,-0.011494859679172392,false,-0.008058572492440658,false,-0.006226700508403287,false
278,0.002734765519926765,30,-0.01134638571115213,false,-0.007948576916659511,false,-0.00613721762114416,false
279,0.0038110210370049173,30,-0.010875948268023324,false,-0.007611546159494406,false,-0.005871305474624814,false
