Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
117,-0.9657925,6.0080123,4.2299147,3.282119,2.611007,5,Sequential RNN
118,4.5311427,4.495067,3.4684415,2.921209,1.5075276,5,Sequential RNN
119,9.097439,9.092047,7.158681,6.1281195,2.839009,5,Sequential RNN
120,-0.29134715,4.2434154,3.0086622,2.350489,1.8131495,5,Sequential RNN
121,-2.9759054,7.5039496,5.6964574,4.732993,2.6541748,5,Sequential RNN
122,-8.518831,7.8972197,6.7377086,6.1196404,1.7026613,5,Sequential RNN
123,-1.1148081,5.3604975,4.1194043,3.4578528,1.8224587,5,Sequential RNN
124,-11.543229,9.092184,7.985719,7.395927,1.6247674,5,Sequential RNN
125,0.6884424,7.3805757,6.8663487,6.592243,0.7551075,5,Sequential RNN
126,-22.871864,6.0714664,5.4380794,5.100461,0.9300831,5,Sequential RNN
127,4.0931063,4.878752,4.6322007,4.5007787,0.36204445,5,Sequential RNN
128,2.5717,12.459468,10.693086,9.7515335,2.5938065,5,Sequential RNN
129,-16.0915,6.3339562,5.815138,5.538589,0.7618479,5,Sequential RNN
130,2.4533029,1.7341473,0.9831037,0.5827677,1.102854,5,Sequential RNN
131,-2.555024,2.480669,1.8014483,1.4393973,0.99738586,5,Sequential RNN
132,4.826871,3.9065313,3.3151934,2.9999862,0.8683378,5,Sequential RNN
133,7.484443,1.961889,1.4405545,1.1626627,0.7655425,5,Sequential RNN
134,-18.562407,-2.154386,-2.7821152,-3.11672,0.9217749,5,Sequential RNN
135,3.6249642,3.8837073,3.409902,3.1573455,0.6957492,5,Sequential RNN
136,13.014312,4.084606,3.6920733,3.4828382,0.5764064,5,Sequential RNN
137,-5.1211934,1.9001803,1.2665228,0.928758,0.9304812,5,Sequential RNN
138,-7.3752375,5.2863336,4.229887,3.6667593,1.5513158,5,Sequential RNN
139,-0.6341254,4.898957,4.2186065,3.8559515,0.99904656,5,Sequential RNN
140,0.5307139,3.4713318,2.6571734,2.223195,1.1955341,5,Sequential RNN
141,4.6944027,6.2060437,5.2612066,4.7575703,1.3874259,5,Sequential RNN
142,4.3636446,4.566735,3.7162464,3.2629013,1.2488832,5,Sequential RNN
143,-5.140544,1.5278887,0.8395648,0.47266084,1.0107552,5,Sequential RNN
144,11.307313,3.1865482,1.9946656,1.3593445,1.7501947,5,Sequential RNN
145,1.3991094,5.682461,4.7098274,4.1913757,1.4282414,5,Sequential RNN
146,4.3179812,7.8008337,6.2406917,5.409075,2.2909577,5,Sequential RNN
147,2.4678278,3.3810294,2.4426932,1.9425228,1.3778801,5,Sequential RNN
148,-4.327841,4.870555,2.910174,1.8652132,2.8786793,5,Sequential RNN
149,5.29808,3.2456634,1.7242606,0.91329247,2.2340717,5,Sequential RNN
150,3.7705035,4.4025025,3.2927232,2.7011662,1.6296334,5,Sequential RNN
151,-11.378262,7.896182,5.6720605,4.486518,3.2659621,5,Sequential RNN
152,-2.7275631,12.377825,10.268438,9.144053,3.0974836,5,Sequential RNN
153,1.1142732,6.4099164,4.9872026,4.2288384,2.0891564,5,Sequential RNN
154,4.443927,6.3153105,5.1755223,4.567969,1.6736991,5,Sequential RNN
155,2.8087757,3.654477,2.7476912,2.2643373,1.3315513,5,Sequential RNN
156,1.2105205,6.4802117,4.9298344,4.1034226,2.2766185,5,Sequential RNN
157,-4.56287,8.240053,6.497537,5.56871,2.5587568,5,Sequential RNN
158,0.35968,5.073328,4.310983,3.9046218,1.1194476,5,Sequential RNN
159,-3.8804998,5.4702654,4.2735806,3.6357,1.7572458,5,Sequential RNN
160,-0.98177445,6.0842805,4.4500556,3.578949,2.3997428,5,Sequential RNN
161,-1.2197278,4.631667,3.35609,2.6761572,1.8730927,5,Sequential RNN
162,-3.079171,4.9512587,3.6080256,2.892029,1.9724402,5,Sequential RNN
163,-2.9697611,5.1265125,3.3920798,2.467557,2.546893,5,Sequential RNN
164,2.1872444,9.365089,7.7987676,6.9638543,2.3000326,5,Sequential RNN
165,1.3146248,5.776065,4.5257964,3.8593562,1.83593,5,Sequential RNN
166,1.5375469,4.121521,2.6962378,1.9365053,2.0929265,5,Sequential RNN
167,-9.1909075,8.10036,5.4181175,3.9883785,3.9386783,5,Sequential RNN
168,-0.43401122,3.692263,2.6528878,2.0988603,1.5262475,5,Sequential RNN
169,-1.0055239,3.2907429,2.148756,1.540032,1.6769261,5,Sequential RNN
170,-1.0978738,7.26474,5.351561,4.33176,2.809368,5,Sequential RNN
171,-1.8119568,4.5323677,3.8859293,3.541352,0.94924825,5,Sequential RNN
172,1.9668021,3.3056583,2.2671833,1.7136344,1.5249275,5,Sequential RNN
173,-9.41857,7.636743,5.9429326,5.0400667,2.4872358,5,Sequential RNN
174,0.20209491,5.997334,4.3030167,3.3998775,2.4879835,5,Sequential RNN
175,7.4987226,7.0643353,4.6602645,3.3787992,3.5302083,5,Sequential RNN
176,3.1202095,5.8037953,4.971312,4.5275655,1.222442,5,Sequential RNN
177,11.011028,3.591106,2.2714128,1.5679637,1.9378746,5,Sequential RNN
178,-0.43993047,2.6984649,1.9463757,1.5454836,1.1043888,5,Sequential RNN
179,5.887149,6.4100065,4.992257,4.236542,2.0818646,5,Sequential RNN
180,-1.4621502,3.9094684,2.5618787,1.8435593,1.9788404,5,Sequential RNN
181,0.39297566,7.1121607,5.830871,5.147893,1.8814813,5,Sequential RNN
