Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,N_Assets,Model
0.065952346,-0.39573482,-0.6314801,-0.30677015,0.21747439,-0.5960799,-0.35957015,1.7306198,0.16663538,1.1089531,114,10,Sequential RNN
-0.012606177,0.06371523,-0.33059815,0.039731115,-0.006089617,-0.4883368,0.095501564,-0.18234108,-0.05846077,1.879485,115,10,Sequential RNN
0.0037608084,0.15102096,0.0142706,0.1827744,0.12134275,-0.4360575,0.10485574,-0.8606325,1.8314317,-0.11276711,116,10,Sequential RNN
-0.095012814,-0.4054499,-0.3935886,-0.27409786,0.19932358,-0.14712739,-0.34234083,1.8982248,-0.6528772,1.2129462,117,10,Sequential RNN
-0.022934625,0.25113693,-0.23193482,0.15395677,-0.0362005,-0.3687133,0.26855716,-0.61071414,-0.14002721,1.7368742,118,10,Sequential RNN
-0.12252574,0.28264132,0.01389385,0.94967514,0.2336816,0.2691742,0.33462223,-1.4241645,-0.06502119,0.52802294,119,10,Sequential RNN
-0.05342722,0.062117837,-0.08641818,-0.017260496,0.44495392,-0.48200783,0.12275949,-0.56596506,1.2567221,0.31852552,120,10,Sequential RNN
0.40606514,0.22741973,-0.26127717,0.039022,0.41467154,0.25589207,0.5285114,-1.3531338,-0.07249597,0.81532526,121,10,Sequential RNN
0.2557189,0.21670936,0.39607447,0.14334418,0.39260444,0.33717015,0.44801244,-1.8835596,1.0727968,-0.37887177,122,10,Sequential RNN
-0.067552105,0.02949482,-0.3614292,0.02635876,0.06320541,-0.28614977,0.018373812,0.030540524,-0.25489342,1.8020519,123,10,Sequential RNN
-0.074211836,0.25850484,0.8465282,0.15913828,-0.023105264,-0.42516276,0.38236532,-1.407661,1.0140162,0.2695882,124,10,Sequential RNN
0.4926485,0.23494491,-0.123348534,0.109295085,0.39876807,-0.027030798,0.45016846,-1.4303651,0.5157097,0.37920976,125,10,Sequential RNN
-0.04054632,0.08791722,-0.34599054,0.15102957,-0.022101657,-0.34307602,0.045958593,-0.118193015,-0.26068074,1.8456825,126,10,Sequential RNN
0.13480605,0.07192913,0.059304096,0.030537058,0.23925589,-0.17847328,0.3046314,-1.241323,1.6217636,-0.042430982,127,10,Sequential RNN
-0.025523493,-0.08995071,-0.20724033,-0.041790638,0.024906259,-0.2935604,-0.07406864,0.4695282,-0.27079448,1.5084944,128,10,Sequential RNN
0.27351078,-0.112589575,-0.71712357,-0.09557219,0.25567234,-0.54140955,-0.14009815,0.3417462,0.45426333,1.2816004,129,10,Sequential RNN
-0.06252338,0.08517106,-0.25575688,0.015329599,0.30815104,-0.48854777,0.1132458,-0.35564426,0.33701035,1.3035643,130,10,Sequential RNN
-0.08315012,0.02868119,-0.5585285,0.20151234,0.10816731,-0.82514197,0.030676652,-0.18711212,0.8307446,1.4541506,131,10,Sequential RNN
0.15628159,-0.31144926,-0.6535356,-0.3958515,0.32040092,-0.74512047,-0.28785893,1.1994966,1.2083248,0.5093116,132,10,Sequential RNN
-0.21505831,0.36706212,-0.43656835,0.91146773,0.070976354,-0.4288746,-0.12223553,-0.2909394,0.12543099,1.018739,133,10,Sequential RNN
-0.10659392,0.3022219,0.20318474,0.36186188,0.10792057,0.5662769,0.82300204,-1.944066,-0.37107697,1.0572693,134,10,Sequential RNN
-0.055537213,0.11954423,-0.3932637,0.1054247,0.031903006,-0.40668285,0.08318786,-0.24807176,-0.35718906,2.1206844,135,10,Sequential RNN
-0.09859887,-0.06688989,-0.16664106,-0.110479414,0.84971786,0.22126375,-0.073936164,0.38309887,-0.33844426,0.40090925,136,10,Sequential RNN
-0.034216512,-0.22791745,-0.35901925,-0.17366299,0.09398433,-0.23861702,-0.24311161,1.1518302,-0.30807236,1.3388027,137,10,Sequential RNN
-0.031258713,0.14073807,-0.33369404,0.17323662,-0.0147322,-0.42941594,0.112794295,-0.32855713,-0.27642763,1.9873161,138,10,Sequential RNN
-0.029222026,0.13670303,-0.23977342,0.0746933,0.012858098,-0.39829728,0.15754177,-0.44298267,0.202462,1.5260168,139,10,Sequential RNN
-0.14598633,0.11057608,-0.77022845,0.73520637,-0.024090577,-0.75016457,0.15617287,-0.7677838,0.43726894,2.0190296,140,10,Sequential RNN
-0.0823083,0.39221156,1.32052,0.28477842,-0.027676886,-0.35856438,0.45494512,-2.0804641,1.287249,-0.19069026,141,10,Sequential RNN
-0.11093335,-0.023467038,-0.4919165,0.05614207,0.20677078,-0.5107289,-0.15562625,0.57751364,0.008944046,1.4433017,142,10,Sequential RNN
-0.037663363,-0.17222567,-0.53642106,-0.11213855,0.029701622,-0.5344797,-0.1619375,0.977081,-0.43823552,1.9863187,143,10,Sequential RNN
-0.05549843,-0.19040263,-0.5087296,-0.15811841,0.18333325,-0.20707723,-0.17920262,1.038972,-0.580598,1.6573215,144,10,Sequential RNN
-0.12039867,-0.23151723,-0.43991676,-0.31514987,0.3357767,-0.12274685,-0.21467255,1.4413718,-0.56912845,1.2363816,145,10,Sequential RNN
-0.06183951,-0.04450735,-0.35335106,-0.033789285,0.1027609,-0.4828296,-0.037902083,0.1140449,0.46865112,1.3287616,146,10,Sequential RNN
-0.06376538,-0.04134079,-0.44023183,-0.0453489,0.22046547,-0.3621755,-0.065501675,0.32116196,-0.20274746,1.6794846,147,10,Sequential RNN
-0.05388141,0.19314976,-0.15362863,0.08318984,0.16255336,-0.2925712,0.17949139,-0.4791448,0.031079344,1.3297627,148,10,Sequential RNN
-0.03623303,0.0770599,-0.44555634,0.15569942,0.023371737,-0.5539558,0.0733682,-0.30462638,-0.12208754,2.1329598,149,10,Sequential RNN
-0.19023348,-0.1563212,-0.27995345,-0.06588419,0.79891014,0.7438648,-0.13970885,0.67996633,-0.5913467,0.2007063,150,10,Sequential RNN
-0.0405706,0.13398652,-0.21850865,0.054710492,0.022067036,-0.6069676,0.24413769,-0.5948261,0.34660885,1.6593623,151,10,Sequential RNN
0.33747676,-0.05547539,-0.59655875,-0.16127819,0.28411755,0.6059519,0.36051568,-0.12084754,-0.6168902,0.96298814,152,10,Sequential RNN
-0.022651572,0.14299895,-0.3267354,0.17961666,-0.038160786,-0.42733708,0.04099262,-0.24278642,-0.057180982,1.7512431,153,10,Sequential RNN
-0.05346009,-0.21243125,-0.5309692,-0.35184753,0.60797465,-0.38131696,-0.30824992,1.2076353,0.071070366,0.9515944,154,10,Sequential RNN
0.02762981,0.24855132,0.04245942,0.35048333,0.5694965,0.2130909,0.57782453,-1.6116678,0.503755,0.078376815,155,10,Sequential RNN
-0.08642918,-0.31397092,-0.7237808,-0.22498477,0.12608558,-0.47436646,-0.29109448,1.6462703,-0.6139567,1.9562273,156,10,Sequential RNN
-0.061764456,-0.19876203,-0.45811978,-0.11811856,0.14016896,-0.15852103,-0.13692585,0.9386017,-0.65847725,1.7119188,157,10,Sequential RNN
-0.044934303,0.044633612,-0.3453584,0.08871112,-0.00054693443,-0.37698177,-0.04417235,0.19028574,-0.19340956,1.6817727,158,10,Sequential RNN
-0.16481207,0.2194565,1.1556436,0.24510628,0.1019393,-0.14506263,0.22971833,-1.1623349,0.568521,-0.04817543,159,10,Sequential RNN
-0.06423569,-0.43729088,-0.7337328,-0.45824486,0.31339407,-0.5537209,-0.533804,2.6342807,0.02922329,0.80413085,160,10,Sequential RNN
0.022292782,-0.12515761,-0.30625808,-0.1382439,0.27106866,0.2330632,-0.120849036,0.6440685,-0.48378867,1.0038042,161,10,Sequential RNN
-0.014933074,0.09659191,-0.3666897,0.03684017,-0.023813015,-0.5259285,0.036499895,-0.116359584,-0.016223138,1.8940152,162,10,Sequential RNN
-0.060752675,-0.4405369,-0.69993126,-0.37753478,0.15745415,-0.6163488,-0.37206239,2.10548,0.2998943,1.0043389,163,10,Sequential RNN
0.089845724,0.051690828,-0.3334209,0.5273719,0.24159771,-0.15121815,0.0033053593,-0.5641865,0.34572715,0.7892868,164,10,Sequential RNN
-0.066736534,-0.23237488,-0.35123625,-0.17853875,0.15345149,-0.24441472,-0.23421136,1.1996311,-0.48853624,1.4429663,165,10,Sequential RNN
-0.057275634,-0.1394362,-0.567622,-0.14924978,0.13763562,-0.46322724,-0.20246436,0.9333733,-0.21690574,1.7251716,166,10,Sequential RNN
-0.09662026,0.24799372,0.5335624,0.10546323,-0.019658547,-0.4633888,0.30280074,-1.0575448,0.4547454,0.99264723,167,10,Sequential RNN
-0.07140791,0.27929798,0.048091978,0.149149,0.10615408,-0.54038745,0.28396064,-1.086282,0.66192114,1.1695024,168,10,Sequential RNN
-0.085832484,0.28774637,-0.12729071,0.2778265,0.16250527,-0.28847957,0.3794925,-1.2113267,-0.08189525,1.6872538,169,10,Sequential RNN
-0.038776387,-0.009915958,-0.4751343,0.020948527,-0.007690462,-0.47110984,-0.029018737,0.15455748,-0.048810128,1.9049495,170,10,Sequential RNN
-0.046713967,-0.33190003,-0.39354447,-0.25344828,0.05136818,-0.3254333,-0.3524975,1.957061,-0.50828123,1.20339,171,10,Sequential RNN
-0.016937505,0.039191272,-0.36414012,0.0469581,0.06252749,-0.4713356,0.032526743,-0.08271013,-0.22227472,1.9761945,172,10,Sequential RNN
-0.047758088,-0.119645976,-0.6198964,-0.060464993,0.12148513,-0.5953001,-0.12984747,0.69037706,-0.28941724,2.0504687,173,10,Sequential RNN
-0.21809258,-0.050106168,-0.38942373,-0.036131907,0.31634408,-0.5105438,0.020584943,0.25089037,-0.58746016,2.203939,174,10,Sequential RNN
-0.13607451,-0.1499627,0.042493578,-0.3312358,1.0817668,0.6550353,-0.07080043,0.42803314,-0.26031286,-0.2589428,175,10,Sequential RNN
-0.09534803,-0.7602049,-0.73078406,-0.3991529,0.21853656,-0.110141575,-0.6423189,3.4497318,-0.7414171,0.8110994,176,10,Sequential RNN
-0.0148416255,-0.023477698,-0.26262426,0.01735652,0.077411495,0.2764513,0.0948564,0.044953074,-0.5379475,1.3278623,177,10,Sequential RNN
-0.04525643,-0.3176249,-0.4529184,-0.17279066,0.046971593,-0.23721595,-0.31289676,1.6002679,-0.30815285,1.1996166,178,10,Sequential RNN
-0.013228135,0.03004791,-0.38817066,0.073205814,0.055275388,-0.52932906,0.036812037,-0.13280477,-0.053538498,1.9217297,179,10,Sequential RNN
-0.09174247,-0.17072219,-0.58888257,-0.15451363,0.06746938,-0.4747784,-0.00396628,0.9395338,-0.41366395,1.8912665,180,10,Sequential RNN
